Title	Sales	Developer(s)	Publisher(s)
Minecraft	180000000	Mojang	Xbox Game Studios
Tetris	170000000	Elektronorgtechnica	Various
Grand Theft Auto V	115000000	Rockstar North	Rockstar Games
Wii Sports	82880000	Nintendo EAD	Nintendo
PlayerUnknown's Battlegrounds	50000000	PUBG Corporation	PUBG Corporation
Super Mario Bros.	48240000	Nintendo	Nintendo
Pokémon Red/Green/Blue/Yellow	47520000	Game Freak	Nintendo
Wii Fit and Wii Fit Plus	43800000	Nintendo EAD	Nintendo
Mario Kart Wii	37240000	Nintendo EAD	Nintendo
Wii Sports Resort	33110000	Nintendo EAD	Nintendo
New Super Mario Bros.	30800000	Nintendo EAD	Nintendo
New Super Mario Bros. Wii	30280000	Nintendo EAD	Nintendo
The Elder Scrolls V: Skyrim	30000000	Bethesda Game Studios	Bethesda Softworks
Diablo III and Reaper of Souls	30000000	Blizzard Entertainment	Blizzard Entertainment
Pokémon Gold/Silver/Crystal	29490000	Game Freak	Nintendo
Duck Hunt	28300000	Nintendo R&D1	Nintendo
Wii Play	28020000	Nintendo EAD	Nintendo
Grand Theft Auto: San Andreas	27500000	Rockstar North	Rockstar Games
Mario Kart 8/Deluxe	27450000	Nintendo EAD	Nintendo
Terraria	27000000	Re-Logic	Re-Logic
Call of Duty: Modern Warfare 3	26500000	Infinity Ward; Sledgehammer	Activision
Red Dead Redemption 2	26500000	Rockstar Studios	Rockstar Games
Call of Duty: Black Ops	26200000	Treyarch	Activision
Grand Theft Auto IV	25000000	Rockstar North	Rockstar Games
Pokémon Sun/Moon/Ultra Sun/Ultra Moon	24740000	Game Freak	Nintendo / The Pokémon Company
Pokémon Diamond/Pearl/Platinum	24730000	Game Freak	Nintendo / The Pokémon Company
Call of Duty: Black Ops II	24200000	Treyarch	Activision
FIFA 18	24000000	EA Canada	Electronic Arts
Kinect Adventures!	24000000	Good Science Studio	Xbox Game Studios
Sonic the Hedgehog	23982960	Sonic Team	Sega
Nintendogs	23960000	Nintendo EAD	Nintendo
Mario Kart DS	23600000	Nintendo EAD	Nintendo
Pokémon Black/White/Black/White 2	23270000	Game Freak	Nintendo
Call of Duty: Modern Warfare 2	22700000	Infinity Ward	Activision
Pokémon Ruby/Sapphire/Emerald	22540000	Game Freak	Nintendo / The Pokémon Company
Borderlands 2	22000000	Gearbox Software	2K Games
Super Mario World	20972500	Nintendo EAD	Nintendo
Frogger	20000000	Konami	Sega
Grand Theft Auto: Vice City	20000000	Rockstar North	Rockstar Games
Lemmings	20000000	DMA Design	Psygnosis
The Witcher 3: Wild Hunt	20000000	CD Projekt Red	CD Projekt
Brain Age	19010000	Nintendo SPD	Nintendo
Super Mario Bros. 3	19000000	Nintendo	Nintendo
Call of Duty: Ghosts	19000000	Infinity Ward	Activision
Mario Kart 7	18470000	Nintendo EAD	Nintendo
Super Mario Land	18370500	Nintendo R&D1	Nintendo
Sonic & Sega All-Stars Racing	17770000	Sumo Digital	Sega
Grand Theft Auto III	17500000	DMA Design	Rockstar Games
The Last of Us	17000000	Naughty Dog	Sony Computer Entertainment
Pokémon X and Y	16420000	Game Freak	Nintendo / The Pokémon Company
